object_type,object_count_in_reference,field_order,field_name,sample_value
Building,1,1,building_name,NOXH1
Building,1,2,north_axis_deg,0
Building,1,3,terrain,Suburbs
Building,1,4,loads_convergence_tolerance,.04
Building,1,5,temperature_convergence_tolerance,.4
Building,1,6,solar_distribution,FullExterior
Building,1,7,maximum_warmup_days,25
Building,1,8,minimum_warmup_days,6
