object_type,object_count_in_reference,field_order,field_name,sample_value
GlobalGeometryRules,1,1,starting_vertex_position,LowerLeftCorner
GlobalGeometryRules,1,2,vertex_entry_direction,CounterClockWise
GlobalGeometryRules,1,3,coordinate_system,World
