surface_key,surface_label,context,is_candidate,matches_manifest_target,adjacency_condition,is_internal_partition,internal_partition_type,hard_attributes,match_keys
surface_26,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPKXP,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPKXP;UNKNOWN;UNKNOWN
surface_27,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,no,no,AdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_28,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,no,no,NotAdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_29,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,yes,no,NotAdjacentToGround,False,-1,WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_30,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_31,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_32,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXWCX0,yes,no,NotAdjacentToGround,False,-1,WallConstr;Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXWCX0;UNKNOWN;UNKNOWN
surface_33,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0Q1,no,no,AdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;CombinedGroundFloorConstr;WindAngle180;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0Q1;UNKNOWN;UNKNOWN
surface_34,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0Q1,no,no,NotAdjacentToGround,False,-1,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;gbXMLExternalConstructionName;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;SSEPObjectAreaInOP;CombinedFlatRoofConstr;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0Q1;UNKNOWN;UNKNOWN
surface_35,Surface,Building > BuildingBlock > UNKNOWN | BLOCK1:APARTMENTXAXNEWXPNX0Q1,yes,no,NotAdjacentToGround,True,Solid,Title;WindAngle315;WindAngle90;gbXMLSurfaceType;WindAngle135;WindAngle225;InternalWallConstr;SSEPObjectIDCInOP;SSEPObjectNameInOP;WindAngle180;gbXMLInternalConstructionName;SSEPObjectAreaInOP;WindAngle45;WindAngle0;WindAngle270,UNKNOWN;BLOCK1:APARTMENTXAXNEWXPNX0Q1;UNKNOWN;UNKNOWN
