timestamp,category,owner_label,target,action,status,value,message
2026-05-12T16:14:11,designbuilder_api,global,api_environment/active_building,detect,DRY_RUN,,DesignBuilder API is not available in this process.
2026-05-12T16:14:11,internal_partition_default,global,InternalWallConstr,SetAttribute,DRY_RUN,IBST_W180_PL15_BR150_PL15,Run this file inside DesignBuilder with --allow-write to test changing Project partition/Internal partitions default.
