glazing_name,category_id,definition_method,source,region_id,description,colour,layers,u_value,visible_transmittance,solar_transmittance_or_shgc,direct_solar_transmittance,mat_1_ref,mat_2_ref,mat_3_ref,mat_4_ref,mat_5_ref,mat_6_ref,mat_7_ref,flip_1,flip_2,flip_3,flip_4,flip_5,flip_6,flip_7,matdef_1,altmat_1,matdef_3,altmat_3,matdef_5,altmat_5,matdef_7,altmat_7,frame_fraction,cost_per_area,is_display_window,hide_in_lists,is_diffusing,diffuse_fraction,using_enhanced_surface_coeffs,hci,radi,sri,hco,rado,sro,notes
G_LOGIA_TEMP_010,,2-Simple,,,Cửa kính logia/ban công - kính cường lực 10 mm,,,5.56,0.86,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dùng đại diện cho cửa kính logia/ban công căn hộ; khung nhôm không mô hình như layer
G_WINDOW_TEMP_008,,2-Simple,,,Cửa sổ kính - kính cường lực 8 mm,,,5.62,0.88,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dùng đại diện cho cửa sổ kính căn hộ phổ thông
